央视,#genre#
风云足球,https://cntv.lat/tv/live.php?auth=231110&id=fyzqHD
央视文化精品,https://cntv.lat/tv/live.php?auth=231110&id=yswhHD
高尔夫网球,https://cntv.lat/tv/live.php?auth=231110&id=golfHD
兵器科技,https://cntv.lat/tv/live.php?auth=231110&id=bqkjHD

卫视,#genre#
北京卫视,https://cntv.lat/tv/live.php?auth=231110&id=beijingHD
浙江卫视,https://cntv.lat/tv/live.php?auth=231110&id=zhejiangHD
东方卫视,https://cntv.lat/tv/live.php?auth=231110&id=shanghaiHD
深圳卫视,https://cntv.lat/tv/live.php?auth=231110&id=shenzhenHD
辽宁卫视,https://cntv.lat/tv/live.php?auth=231110&id=liaoningHD
天津卫视,https://cntv.lat/tv/live.php?auth=231110&id=tianjinHD
贵州卫视,https://cntv.lat/tv/live.php?auth=231110&id=guizhouHD
四川卫视,https://cntv.lat/tv/live.php?auth=231110&id=sichuanHD
重庆卫视,https://cntv.lat/tv/live.php?auth=231110&id=chongqingHD
江苏卫视,https://cntv.lat/tv/live.php?auth=231110&id=jiangsuHD
云南卫视,https://cntv.lat/tv/live.php?auth=231110&id=yunnanSD
东南卫视,https://cntv.lat/tv/live.php?auth=231110&id=dongnanHD
黑龙江卫视,https://cntv.lat/tv/live.php?auth=231110&id=heilongjiangHD
安徽卫视,https://cntv.lat/tv/live.php?auth=231110&id=anhuiSD
河北卫视,https://cntv.lat/tv/live.php?auth=231110&id=hebeiSD
江西卫视,https://cntv.lat/tv/live.php?auth=231110&id=jiangxiHD
湖北卫视,https://cntv.lat/tv/live.php?auth=231110&id=hubeiSD
海南卫视,https://cntv.lat/tv/live.php?auth=231110&id=hainanSD
吉林卫视,https://cntv.lat/tv/live.php?auth=231110&id=jilinHD
广西卫视,https://cntv.lat/tv/live.php?auth=231110&id=guangxiHD
内蒙古卫视,https://cntv.lat/tv/live.php?auth=231110&id=neimengkuSD
湖南卫视,https://cntv.lat/tv/live.php?auth=231110&id=hunanHD
广东卫视,https://cntv.lat/tv/live.php?auth=231110&id=guangdongHD
河南卫视,https://cntv.lat/tv/live.php?auth=231110&id=henanHD
山西卫视,https://cntv.lat/tv/live.php?auth=231110&id=shanxiSD
兵团卫视,https://cntv.lat/tv/live.php?auth=231110&id=bingtuanSD
宁夏卫视,https://cntv.lat/tv/live.php?auth=231110&id=ningxia
卡酷少儿,https://cntv.lat/tv/live.php?auth=231110&id=bjkakuSD
金鹰卡通,https://cntv.lat/tv/live.php?auth=231110&id=jinyingSD
三沙卫视,https://cntv.lat/tv/live.php?auth=231110&id=sanshaSD
青海卫视,https://cntv.lat/tv/live.php?auth=231110&id=qinghaiSD
新疆卫视,https://cntv.lat/tv/live.php?auth=231110&id=xinjiangSD
西藏卫视,https://cntv.lat/tv/live.php?auth=231110&id=xizangSD
中国天气,https://cntv.lat/tv/live.php?auth=231110&id=tianqiSD
北京纪实科教,https://cntv.lat/tv/live.php?auth=231110&id=bjayjsSD
山东教育卫视,https://cntv.lat/tv/live.php?auth=231110&id=sdjiaoyuSD
CETV-1,https://cntv.lat/tv/live.php?auth=231110&id=cetv-1SD
CETV-4,https://cntv.lat/tv/live.php?auth=231110&id=cetv-4SD

其他,#genre#
早期教育,https://cntv.lat/tv/live.php?auth=231110&id=zaojiaoHD
欢笑剧场 4K,https://cntv.lat/tv/live.php?auth=231110&id=hxjc_4K
生活时尚,https://cntv.lat/tv/live.php?auth=231110&id=shenghuo
百姓健康,https://cntv.lat/tv/live.php?auth=231110&id=jiankangSD
快乐垂钓,https://cntv.lat/tv/live.php?auth=231110&id=klcdHD
都市剧场,https://cntv.lat/tv/live.php?auth=231110&id=dsjcHD
动漫秀场,https://cntv.lat/tv/live.php?auth=231110&id=dmxcHD
魅力足球,https://cntv.lat/tv/live.php?auth=231110&id=mlzqHD
求索纪录,https://cntv.lat/tv/live.php?auth=231110&id=qsjlHD
游戏风云,https://cntv.lat/tv/live.php?auth=231110&id=yxfyHD
东方财经,https://cntv.lat/tv/live.php?auth=231110&id=dfcj
证券服务,https://cntv.lat/tv/live.php?auth=231110&id=jiazheng
书画,https://cntv.lat/tv/live.php?auth=231110&id=shuhua
新动漫,https://cntv.lat/tv/live.php?auth=231110&id=dongman
国学频道,https://cntv.lat/tv/live.php?auth=231110&id=guoxue
优优宝贝,https://cntv.lat/tv/live.php?auth=231110&id=youxi
中华特产,https://cntv.lat/tv/live.php?auth=231110&id=techan
环球奇观,https://cntv.lat/tv/live.php?auth=231110&id=car
生态环境,https://cntv.lat/tv/live.php?auth=231110&id=shengtai
四海钓鱼,https://cntv.lat/tv/live.php?auth=231110&id=diaoyu
车迷,https://cntv.lat/tv/live.php?auth=231110&id=doxtv
法治天地,https://cntv.lat/tv/live.php?auth=231110&id=fazhi
金色学堂,https://cntv.lat/tv/live.php?auth=231110&id=jinse
收藏天下,https://cntv.lat/tv/live.php?auth=231110&id=soucang
财富天下,https://cntv.lat/tv/live.php?auth=231110&id=caifu
天元围棋,https://cntv.lat/tv/live.php?auth=231110&id=weiqi
先锋乒羽,https://cntv.lat/tv/live.php?auth=231110&id=xianfeng
环球旅游,https://cntv.lat/tv/live.php?auth=231110&id=huanqiulvyou
摄影频道,https://cntv.lat/tv/live.php?auth=231110&id=sheying
发现之旅,https://cntv.lat/tv/live.php?auth=231110&id=faxian
中学生,https://cntv.lat/tv/live.php?auth=231110&id=qicai
老故事,https://cntv.lat/tv/live.php?auth=231110&id=gushi

购物,#genre#
优购物,https://cntv.lat/tv/live.php?auth=231110&id=yougouwu
风尚购物,https://cntv.lat/tv/live.php?auth=231110&id=fsgw
聚鲨环球精选,https://cntv.lat/tv/live.php?auth=231110&id=jusha
中视购物,https://cntv.lat/tv/live.php?auth=231110&id=ysgw
家有购物,https://cntv.lat/tv/live.php?auth=231110&id=jygw
央广购物,https://cntv.lat/tv/live.php?auth=231110&id=yggw

地方,#genre#
云南都市,http://tvlive.ynradio.com/live/yunnandushi/playlist.m3u8
云南都市,http://tvlive.ynradio.com/live/yunnandushi/chunks.m3u8
浙江公共新闻,https://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,https://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,https://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,https://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
内蒙古新闻综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙古少儿频道,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙古文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙古农牧频道,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
内蒙古蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
重庆新闻,https://cntv.lat/tv/live.php?auth=231110&id=CQTVNewsHD
重庆影视,https://cntv.lat/tv/live.php?auth=231110&id=cqyingshiHD
重庆社会与法,https://cntv.lat/tv/live.php?auth=231110&id=CQTVTrendyHD
重庆时尚生活,https://cntv.lat/tv/live.php?auth=231110&id=cqssgwHD
重庆文体娱乐,https://cntv.lat/tv/live.php?auth=231110&id=cqwtylHD
重庆新农村,https://cntv.lat/tv/live.php?auth=231110&id=cqggncHD
重庆少儿,https://cntv.lat/tv/live.php?auth=231110&id=cqseHD
重庆科教,https://cntv.lat/tv/live.php?auth=231110&id=CQTVkejiaoHD
爱看导视,https://cntv.lat/tv/live.php?auth=231110&id=aikanHD
重庆汽摩,https://cntv.lat/tv/live.php?auth=231110&id=cqcarSD
重庆移动,https://cntv.lat/tv/live.php?auth=231110&id=mryyHD
重广融媒,https://cntv.lat/tv/live.php?auth=231110&id=cqrongmei
上海新闻综合,https://pi.0472.org/tv/sh.php?id=xw
上海都市,https://pi.0472.org/tv/sh.php?id=ds

港澳,#genre#
凤凰中文,https://0472.org/hls/fhzw.m3u8
翡翠台,https://pi.0472.org/tv/fct.php?auth=231110
明珠台,https://pi.0472.org/tv/mzt.php?auth=231110
澳视澳门,https://pi.0472.org/tv/asam.php?auth=231110
星空卫视,https://pi.0472.org/tv/startv.php?auth=231110
澳亚卫视,https://pi.0472.org/tv/aoya.php?auth=231110
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
莲花卫视,https://cntv.lat/tv/lhws.php
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8

国际,#genre#
CGTN,https://cntv.lat/tv/live.php?auth=231110&id=cgtnSD
CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
NHKWORLD,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
半岛英语,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛阿语,https://live-hls-web-aja.getaj.net/AJA/02.m3u8
Thai PBS 3,https://thaipbs-live.cdn.byteark.com/live/playlist_1080p/index.m3u8
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
FASHIONTV,https://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
FASHIONTV 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
金砖电视,https://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
亚洲新闻720P,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲新闻1080P,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8

测试,#genre#
